symbol,entry_date,entry_price,exit_date,exit_price,direction,pnl_pct,hold_days,exit_reason,regime,shares,pnl_dollars,z_score_entry
SPY,2024-02-23,495.6304,2024-02-28,492.7011,SHORT,0.591,3,max_hold,low_vol,5,14.65,1.1564
SPY,2024-03-04,498.3166,2024-03-07,501.0221,SHORT,-0.5429,3,max_hold,low_vol,5,-13.53,1.7584
SPY,2024-03-21,510.9549,2024-03-26,506.4837,SHORT,0.8751,3,max_hold,low_vol,5,22.36,1.0667
SPY,2024-04-16,492.9433,2024-04-18,487.652,LONG,-1.0734,2,stop_loss,low_vol,4,-21.16,-2.0882
SPY,2024-04-19,487.5739,2024-04-24,493.4021,LONG,1.1953,3,max_hold,low_vol,4,23.31,-0.688
SPY,2024-06-13,530.2455,2024-06-18,535.4585,SHORT,-0.9831,3,max_hold,low_vol,5,-26.07,1.9903
SPY,2024-07-11,549.8691,2024-07-16,553.2186,SHORT,-0.6092,3,max_hold,low_vol,5,-16.75,1.9611
SPY,2024-07-26,531.104,2024-07-31,539.4583,LONG,1.573,3,max_hold,low_vol,4,33.42,-0.2321
SPY,2024-08-05,501.0955,2024-08-06,511.3889,LONG,2.0542,1,take_profit,medium_vol,2,20.59,-1.9787
SPY,2024-10-15,574.2981,2024-10-18,574.2982,SHORT,-0.0,3,max_hold,low_vol,4,-0.0,1.7439
SPY,2024-11-01,561.2618,2024-11-06,580.6346,LONG,3.4516,3,take_profit,low_vol,4,77.49,2.1406
SPY,2024-11-07,582.6387,2024-11-12,586.3915,SHORT,-0.6441,3,max_hold,low_vol,4,-15.01,1.5378
SPY,2024-12-19,580.949,2024-12-24,592.7021,LONG,2.0231,3,take_profit,low_vol,2,23.51,0.2694
SPY,2025-02-28,577.1872,2025-03-04,568.6116,LONG,-1.4858,2,stop_loss,low_vol,4,-34.3,-2.3818
SPY,2025-03-05,568.444,2025-03-10,552.5643,LONG,-2.7935,3,stop_loss,low_vol,4,-63.52,-2.241
SPY,2025-03-11,551.4012,2025-03-13,543.5353,LONG,-1.4265,2,stop_loss,medium_vol,1,-7.87,-1.7914
SPY,2025-04-04,517.7349,2025-04-04,499.5533,LONG,-3.5118,0,stop_loss,medium_vol,1,-18.18,-3.5184
GOOGL,2024-03-05,130.7989,2024-03-08,134.3,LONG,2.6767,3,take_profit,medium_vol,3,10.5,-0.8754
GOOGL,2024-06-24,178.8882,2024-06-25,182.7309,SHORT,-2.1481,1,stop_loss,medium_vol,3,-11.53,2.872
GOOGL,2024-06-26,181.3408,2024-06-27,184.1012,SHORT,-1.5222,1,stop_loss,medium_vol,3,-8.28,2.211
GOOGL,2024-06-28,183.0189,2024-07-03,184.5083,SHORT,-0.8138,3,max_hold,medium_vol,3,-4.47,1.6284
GOOGL,2024-07-08,188.5595,2024-07-11,184.2601,SHORT,2.2801,3,take_profit,medium_vol,3,12.9,0.5695
GOOGL,2024-07-25,171.3022,2024-07-25,166.0992,LONG,-3.0373,0,stop_loss,medium_vol,2,-10.41,-2.6886
GOOGL,2024-07-26,165.9701,2024-07-31,170.3291,LONG,2.6264,3,take_profit,medium_vol,2,8.72,-1.0833
GOOGL,2024-09-04,155.5541,2024-09-06,149.8546,LONG,-3.664,2,stop_loss,medium_vol,2,-11.4,-2.7778
GOOGL,2024-09-09,151.6344,2024-09-09,147.8562,LONG,-2.4916,0,stop_loss,medium_vol,2,-7.56,-2.5049
GOOGL,2024-09-10,149.5862,2024-09-10,147.8065,LONG,-1.1898,0,stop_loss,medium_vol,2,-3.56,-2.0783
GOOGL,2024-09-11,149.0592,2024-09-12,153.8019,LONG,3.1817,1,take_profit,medium_vol,2,9.49,-0.811
GOOGL,2024-10-30,179.6426,2024-10-30,173.4584,SHORT,3.4425,0,take_profit,medium_vol,2,12.37,3.2221
GOOGL,2024-10-31,172.136,2024-11-04,168.2684,SHORT,2.2469,2,take_profit,medium_vol,2,7.74,0.9756
GOOGL,2024-11-07,176.3914,2024-11-07,179.7122,SHORT,-1.8826,0,stop_loss,medium_vol,2,-6.64,2.5789
GOOGL,2024-11-08,179.6128,2024-11-13,177.853,SHORT,0.9798,3,max_hold,medium_vol,2,3.52,1.2144
GOOGL,2025-02-03,199.7665,2025-02-04,205.4303,SHORT,-2.8352,1,stop_loss,medium_vol,2,-11.33,2.2336
GOOGL,2025-02-05,190.1908,2025-02-07,184.4871,SHORT,2.9989,2,take_profit,medium_vol,2,11.41,-1.9961
